temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
-3.43,14.5,16.82,999
-0.28,12.6,18.62,999
-0.84,13.1,20.22,999
-4.21,14.1,20.62,999
3.73,14.1,20.22,999
6.79,15.3,18.82,-3.2
9.38,17.9,17.72,-9
11.32,19.9,16.12,-10.2
9.51,20.3,15.22,-9.3
7.29,19.9,14.92,-9.2
4.69,17.3,15.32,-3.7
-0.42,15.3,16.12,-3.2
-0.9,14.21,17.22,-0.3
-3.03,12.61,19.22,0.1
-1.38,12.51,20.72,0.3
3.03,13.11,21.12,-3.7
2.62,14.71,20.92,-7.4
5.07,15.71,18.92,-5.6
11.04,17.61,17.22,-7.7
9.75,20.21,16.12,-10.2
9.34,21.01,15.32,-19.1
5.73,20.41,16.02,-10.5
4.02,18.91,15.92,-8.7
-2.73,15.21,18.02,-2.5
-0.11,12.91,19.02,0.7
1.63,12.41,20.12,1
1.96,13.21,21.12,0
5.65,12.81,20.72,-2.3
3.7,14.01,20.12,-7.7
7.54,16.11,19.12,-9.5
10.46,16.31,17.52,-11.6
11.84,18.91,16.72,-6
999,20.01,14.52,-20.1
999,19.91,14.92,-9.6
999,18.31,15.12,-3.1
999,17.31,16.32,-1.1
999,15.02,17.92,0
999,14.42,19.92,0.9
999,13.42,21.32,0.6
999,14.42,20.82,1.1
999,15.12,19.62,-3.3
999,16.82,18.92,-4
999,18.82,16.72,-7.5
999,19.92,15.92,-13.1
999,21.12,15.72,-12.1
999,21.02,15.82,-5.9
999,17.42,15.72,-8.8
999,14.42,16.62,-2
-5.12,14.93,17.82,-0.8
-3.52,14.13,18.92,0.2
-5.77,12.43,20.12,-0.4
-2.77,13.83,20.12,-1.8
1.97,14.83,20.72,-5.9
4.98,15.53,19.72,-6.1
11.16,17.13,17.92,-8.7
11.38,19.43,16.22,-16
9.92,21.53,15.32,-12
7.46,20.03,15.12,-10.3
1.74,18.23,16.32,-6.7
-0.5,15.33,16.72,-2.09
-2.79,14.94,18.92,-0.6
-0.81,14.24,20.52,0
0.86,13.34,21.02,-2.09
